wind speed,direction,Power Output
16.58,219,33.68
16.21,220,35.42
14.72,222,30.84
17.99,217,41.32
15.13,222,31.5
14.98,222,34.58
15.75,221,34.83
16.86,220,32.41
15.17,222,31.36
17.17,219,31.09
17.17,220,33.1
18.03,218,41.35
17.76,219,36.43
16.25,221,32.01
18.6,217,38.01
18.05,218,43.12
18.62,217,40.8
18.93,217,32.29
19,217,38.96
15.97,222,40.13
17.48,220,41.66
19.35,217,38.61
15.51,223,36.64
17.98,220,37.69
18.32,219,33.33
19.2,218,36.2
17.97,220,36.68
17.91,220,42.26
19.18,218,38.1
16.15,223,34.35
19.24,218,45.15
16.22,223,40.5
16.72,222,41.96
18.22,220,36.4
17.3,222,38.54
16.51,223,37.94
16.55,223,43.82
18.7,220,45.58
17.88,221,45.18
18.87,220,44.75
19.12,220,45.31
17.02,223,37.23
17.95,221,44.47
18.88,220,38.13
17.08,223,38.27
18.34,221,42.04
19.61,219,46.3
18.85,220,41.1
19.77,219,46.97
19.73,220,45.04
18.3,221,37.04
17.66,223,42.54
18.22,222,40.42
18.04,222,41.52
19.19,220,43.39
19.33,220,37.67
21.14,217,46.56
20.13,220,45.92
17.93,223,46.96
18.05,223,46.68
19.39,220,45.81
20.77,219,40.21
21.46,217,40.68
21.27,218,41.82
18.49,223,43.46
22,217,48.52
18.37,223,49.62
21.49,218,40.53
18.83,222,49.77
18.61,223,42.03
20.59,220,49.19
19.53,221,46.33
21.15,219,41.57
21.01,219,48.81
19.33,222,40.39
20.25,220,42.7
18.72,223,40.73
20.07,220,47.83
19.06,222,46.08
21.52,219,48.24
21.91,218,46.43
22.02,218,40.66
20.58,220,48.93
19.79,221,47.27
21.22,219,40.67
19.52,222,48.45
20.79,220,42.33
22.02,218,45.21
22.4,217,45.47
22.28,218,46.59
19.98,221,48.23
22.71,217,45.38
20.56,220,45.73
22.2,218,47.58
20.26,221,45.68
20.11,221,47.54
19.56,222,41.67
19.88,222,46.68
19.11,223,49.66
19.82,222,43.73
20.16,221,50.05
21.42,220,49.77
22,218,41.38
20.32,221,47.21
21.67,219,42.82
19.34,223,51.81
19.91,222,44.79
22.33,218,42.02
21.44,220,46.93
20.63,220,43.67
21.01,220,42.43
20.9,220,44.56
22.41,218,49.9
21.28,220,46.22
21.13,220,41.43
19.76,222,50.82
21.19,220,43.83
18.93,223,47.35
22.67,217,46.22
22.3,218,41.56
19.7,222,49.78
19.86,222,43.92
21.47,219,40.78
19.49,222,47.92
21.85,218,42.57
19.16,223,44.86
21.92,218,44.31
22.24,217,42.36
21.22,219,43.69
20.04,221,46.17
21.18,219,41.35
21.83,218,50.24
21.43,219,42.93
19.8,221,44.05
20.08,220,40.73
22.2,217,47.97
19.84,221,46.94
19.83,221,50.23
20.61,220,45.14
18.6,223,47.99
18.52,223,45.04
18.43,223,49.61
18.35,223,47.13
18.26,223,49.66
18.17,224,40.52
18.08,224,46.48
17.98,224,42.8
17.89,224,40.93
17.79,224,42.91
17.69,224,48.76
17.58,224,47.63
17.48,224,39.98
17.37,224,48.85
17.26,224,47.62
17.15,225,45.78
17.03,225,38.48
16.91,225,39.53
16.79,225,47.63
16.67,225,46.11
16.55,225,38.4
16.42,225,42.88
16.29,226,42.97
16.16,226,38.44
16.02,226,42.95
15.89,226,44.15
15.75,226,43.68
15.6,226,39.73
15.46,227,38.87
15.31,227,37.96
15.16,227,46.65
15.01,227,41.62
14.85,227,39.73
14.69,227,40.85
14.53,228,46.42
14.36,228,37.56
14.19,228,40.29
14.02,228,41.45
13.85,229,45.37
13.67,229,36.08
13.49,229,39.88
13.31,229,41.42
13.12,229,40.55
12.93,230,40.8
12.73,230,40.79
12.54,230,38.81
12.34,230,35.36
12.13,231,34.52
11.92,231,39.31
11.71,231,39.98
11.5,232,34.9
11.28,232,35.77
11.05,232,41.17
10.82,233,43.04
10.59,233,40.49
10.36,233,34.65
10.12,234,39.53
9.87,234,32.29
9.62,234,40.46
